ENSEMBL_ID	Gene_ID	P7469_501	P7469_502	P7469_503	P7469_504	P7469_505	P7469_506	P7469_507	P7469_508
ENSG00000000003	TSPAN6	4316	4295	4590	4679	4784	5379	2867	3482
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0
ENSG00000000419	DPM1	4776	4170	4581	4700	4733	5543	1088	2405
ENSG00000000457	SCYL3	528	492	447	458	462	567	477	645
ENSG00000000460	C1orf112	1589	1430	1257	1221	1205	1496	586	654
ENSG00000000938	FGR	0	0	0	0	3	1	1	1
ENSG00000000971	CFH	0	0	0	0	0	1	1	0
ENSG00000001036	FUCA2	4036	4294	5197	4785	4774	5820	8453	7151
ENSG00000001084	GCLC	3382	3191	3456	3599	3425	4021	1320	2492
ENSG00000001167	NFYA	2921	2900	2466	2617	2493	2970	1245	1854
ENSG00000001460	STPG1	254	313	341	321	401	467	795	741
ENSG00000001461	NIPAL3	934	939	953	975	928	1081	2284	2655
ENSG00000001497	LAS1L	4767	6260	8052	8100	6336	8249	7504	6790
ENSG00000001561	ENPP4	1254	1170	794	887	1034	1177	76	210
ENSG00000001617	SEMA3F	589	1669	2027	2308	1399	1970	2083	1640
ENSG00000001626	CFTR	1	1	4	1	0	1	0	1
ENSG00000001629	ANKIB1	3057	2912	1981	2510	2168	2601	397	989
ENSG00000001630	CYP51A1	7	19	24	41	24	27	28	46
ENSG00000001631	KRIT1	2649	2662	1573	1881	1808	2146	193	492
ENSG00000002016	RAD52	916	1191	786	837	851	965	811	1036
ENSG00000002079	MYH16	22	14	33	35	19	28	2	10
ENSG00000002330	BAD	77	249	449	563	295	494	1016	728
ENSG00000002549	LAP3	3334	3295	4053	3986	3448	4059	1935	2461
ENSG00000002586	CD99	1286	2044	2939	2754	1895	2344	3636	2573
ENSG00000002587	HS3ST1	5	12	8	3	9	10	8	6
ENSG00000002726	AOC1	17	45	52	50	72	116	165	113
ENSG00000002745	WNT16	2	0	1	2	0	0	0	0
ENSG00000002746	HECW1	0	0	0	0	0	3	1	0
ENSG00000002822	MAD1L1	244	499	799	908	647	914	1860	1497
ENSG00000002834	LASP1	15699	21302	28993	27757	20896	26183	32514	25347
ENSG00000002919	SNX11	886	1018	1391	1370	1124	1411	2878	1955
ENSG00000002933	TMEM176A	199	306	398	348	591	697	1399	981
ENSG00000003056	M6PR	5371	5471	6417	6351	5715	6550	4148	4767
ENSG00000003096	KLHL13	4	3	8	4	2	1	1	4
ENSG00000003137	CYP26B1	13	24	16	17	5	15	34	50
ENSG00000003147	ICA1	297	287	408	378	691	843	1070	1352
ENSG00000003249	DBNDD1	138	371	526	551	468	697	751	574
ENSG00000003393	ALS2	989	901	713	761	880	1007	549	983
ENSG00000003400	CASP10	6	4	9	8	19	15	15	38
ENSG00000003402	CFLAR	920	993	931	1021	909	1231	897	806
ENSG00000003436	TFPI	51	34	26	28	30	29	0	4
ENSG00000003509	NDUFAF7	1632	1514	1333	1418	1185	1427	486	817
ENSG00000003756	RBM5	4519	4971	4082	3851	3202	3973	4602	5086
ENSG00000003987	MTMR7	0	0	0	0	0	0	0	0
ENSG00000003989	SLC7A2	50	43	30	47	17	33	8	15
ENSG00000004059	ARF5	1217	2283	3540	3685	2917	3771	4852	3305
ENSG00000004139	SARM1	159	200	260	268	256	282	948	752
ENSG00000004142	POLDIP2	5608	7309	11177	10652	8393	10593	16283	11339
ENSG00000004399	PLXND1	1192	2733	2545	2915	1947	2634	4660	3653
ENSG00000004455	AK2	7931	7928	10488	10003	8239	9919	15103	12151
ENSG00000004468	CD38	0	5	1	1	1	1	2	2
ENSG00000004478	FKBP4	10437	12165	15054	14367	15377	18363	10784	7602
ENSG00000004487	KDM1A	9977	10056	11528	11175	10720	12631	5408	6140
ENSG00000004534	RBM6	5088	5278	4031	4036	4422	5034	2079	2949
ENSG00000004660	CAMKK1	377	677	1084	1177	931	1265	804	630
ENSG00000004700	RECQL	7914	6922	5133	6204	4991	6142	199	606
ENSG00000004766	CCDC132	1433	1414	905	1120	989	1232	69	229
ENSG00000004776	HSPB6	0	2	3	7	4	3	6	5
ENSG00000004777	ARHGAP33	43	217	163	193	114	158	294	229
ENSG00000004779	NDUFAB1	1625	2251	2774	3003	2544	3358	2842	2398
ENSG00000004799	PDK4	59	41	32	41	63	89	4	8
ENSG00000004809	SLC22A16	0	2	0	0	0	0	0	0
ENSG00000004838	ZMYND10	17	36	28	22	29	23	39	33
ENSG00000004846	ABCB5	0	1	0	0	0	0	0	0
ENSG00000004848	ARX	0	0	0	0	0	0	4	1
ENSG00000004864	SLC25A13	3792	3907	4774	4502	3957	4640	3131	3651
ENSG00000004866	ST7	2635	2736	3193	3154	2633	3120	3174	3100
ENSG00000004897	CDC27	5099	4736	4221	4527	4294	5544	712	1495
ENSG00000004939	SLC4A1	1	0	0	0	0	0	2	2
ENSG00000004948	CALCR	2	0	1	2	1	0	3	2
ENSG00000004961	HCCS	2159	2165	2805	2777	2624	3198	2991	2517
ENSG00000004975	DVL2	1109	2673	3491	3872	2738	3614	6891	5000
ENSG00000005001	PRSS22	2	8	5	6	6	8	30	39
ENSG00000005007	UPF1	1845	4610	6328	7504	5173	7546	11087	8740
ENSG00000005020	SKAP2	2362	2275	1885	1869	1723	1976	456	869
ENSG00000005022	SLC25A5	22727	27644	38013	36081	32858	41019	29767	24476
ENSG00000005059	CCDC109B	462	449	580	551	481	520	269	347
ENSG00000005073	HOXA11	514	628	1007	1012	807	1023	1464	1415
ENSG00000005075	POLR2J	402	845	1524	1546	947	1325	1702	1362
ENSG00000005100	DHX33	6589	7437	7784	8338	6523	8138	4009	6590
ENSG00000005102	MEOX1	0	0	0	0	0	0	0	0
ENSG00000005108	THSD7A	0	0	0	0	0	0	0	0
ENSG00000005156	LIG3	1668	1894	2274	2426	1947	2429	2138	1755
ENSG00000005175	RPAP3	4683	4404	2996	3790	3963	4812	251	696
ENSG00000005187	ACSM3	8	8	6	5	14	7	8	7
ENSG00000005189	AC004381.6	395	435	431	457	446	551	393	449
ENSG00000005194	CIAPIN1	3666	4158	5471	4843	4348	5454	9692	6458
ENSG00000005206	SPPL2B	413	1243	1145	1592	1001	1530	2381	2324
ENSG00000005238	FAM214B	35	55	63	59	64	77	178	157
ENSG00000005243	COPZ2	73	105	121	108	87	122	553	400
ENSG00000005249	PRKAR2B	4	1	2	5	6	3	0	0
ENSG00000005302	MSL3	1801	1890	1801	1795	1754	2201	1009	1592
