ENSEMBL_ID	Gene_ID	P7469_501	P7469_502	P7469_503	P7469_504	P7469_505	P7469_506	P7469_507	P7469_508
ENSG00000000003	TSPAN6	55.5838	49.7156	50.2084	51.7737	57.5464	53.5072	32.6664	43.7401
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0
ENSG00000000419	DPM1	139.234	110.429	111.685	110.797	127.651	123.113	27.7651	62.7013
ENSG00000000457	SCYL3	4.15057	3.56509	3.15468	3.07291	3.36643	3.80486	3.82594	4.90186
ENSG00000000460	C1orf112	14.0145	11.0474	10.446	11.2062	10.4194	12.4034	4.4729	5.79183
ENSG00000000938	FGR	0	0	0	0	0.0516699	0.0104554	0.024089	0.0477029
ENSG00000000971	CFH	0	0	0	0	0	0.0048438	0.0173472	0
ENSG00000001036	FUCA2	48.5744	45.7407	50.9036	46.312	52.1138	51.6012	85.1974	75.3592
ENSG00000001084	GCLC	51.6595	49.7288	53.6462	54.6372	59.8433	57.2605	25.1918	44.5179
ENSG00000001167	NFYA	21.9153	21.5828	16.6035	18.7737	19.3166	18.7817	9.41062	13.7839
ENSG00000001460	STPG1	4.39537	4.53229	4.39712	3.42453	4.82468	5.32808	8.80405	8.3258
ENSG00000001461	NIPAL3	5.1552	4.62465	4.96106	4.90978	4.85357	5.026	12.1653	13.2968
ENSG00000001497	LAS1L	62.3528	71.3856	84.034	82.5419	73.1218	76.1893	82.9656	79.0179
ENSG00000001561	ENPP4	7.13948	5.93779	3.74976	4.07667	5.39484	5.00389	0.37073	1.06625
ENSG00000001617	SEMA3F	7.72815	20.6532	25.1966	26.7486	15.1805	18.3239	20.347	14.2922
ENSG00000001626	CFTR	0.0044128	0.00394752	0.0879225	0.00356866	0	0.00330676	0	0.00394789
ENSG00000001629	ANKIB1	16.8996	17.2225	10.9118	13.5854	12.1824	14.0001	2.77806	7.34618
ENSG00000001630	CYP51A1	19.847	18.1618	14.7372	14.1749	18.7075	16.8639	5.22811	11.4362
ENSG00000001631	KRIT1	56.425	51.4722	26.4754	33.6539	32.554	27.5976	3.38348	8.61622
ENSG00000002016	RAD52	22.8905	29.8921	16.7497	17.5947	18.7703	16.6855	17.8476	17.6304
