"ensembl_gene_id" "size"
"1" "ENSG00000000003" 12883
"2" "ENSG00000000005" 14949
"3" "ENSG00000000419" 24273
"4" "ENSG00000000457" 44636
"5" "ENSG00000000460" 192073
"6" "ENSG00000000938" 23121
"7" "ENSG00000000971" 100722
"8" "ENSG00000001036" 16908
"9" "ENSG00000001084" 119629
"10" "ENSG00000001167" 29429
"11" "ENSG00000001460" 59935
"12" "ENSG00000001461" 57174
"13" "ENSG00000001497" 96261
"14" "ENSG00000001561" 16699
"15" "ENSG00000001617" 34030
"16" "ENSG00000001626" 428851
"17" "ENSG00000001629" 155409
"18" "ENSG00000001630" 49816
"19" "ENSG00000001631" 48668
"20" "ENSG00000002016" 78317
"21" "ENSG00000002079" 72301
"22" "ENSG00000002330" 14874
"23" "ENSG00000002549" 30774
"24" "ENSG00000002586" 50122
"25" "ENSG00000002587" 36414
"26" "ENSG00000002726" 36877
"27" "ENSG00000002745" 15737
"28" "ENSG00000002746" 453372
"29" "ENSG00000002822" 417450
"30" "ENSG00000002834" 51911
"31" "ENSG00000002919" 20244
"32" "ENSG00000002933" 4715
"33" "ENSG00000003056" 9400
"34" "ENSG00000003096" 219527
"35" "ENSG00000003137" 18624
"36" "ENSG00000003147" 149503
"37" "ENSG00000003249" 15019
"38" "ENSG00000003393" 81845
"39" "ENSG00000003400" 46556
"40" "ENSG00000003402" 60533
"41" "ENSG00000003436" 101530
"42" "ENSG00000003509" 21772
"43" "ENSG00000003756" 30102
"44" "ENSG00000003987" 116734
"45" "ENSG00000003989" 73485
"46" "ENSG00000004059" 3314
"47" "ENSG00000004139" 39693
"48" "ENSG00000004142" 10894
"49" "ENSG00000004399" 51462
"50" "ENSG00000004455" 73010
"51" "ENSG00000004468" 74957
"52" "ENSG00000004478" 10453
"53" "ENSG00000004487" 64246
"54" "ENSG00000004534" 160038
"55" "ENSG00000004660" 34576
"56" "ENSG00000004700" 32759
"57" "ENSG00000004766" 128783
"58" "ENSG00000004776" 3513
"59" "ENSG00000004777" 14290
"60" "ENSG00000004779" 15302
"61" "ENSG00000004799" 13017
"62" "ENSG00000004809" 51954
"63" "ENSG00000004838" 4622
"64" "ENSG00000004846" 161371
"65" "ENSG00000004848" 12726
"66" "ENSG00000004864" 201927
"67" "ENSG00000004866" 276938
"68" "ENSG00000004897" 71719
"69" "ENSG00000004939" 19751
"70" "ENSG00000004948" 150244
"71" "ENSG00000004961" 11785
